"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy2","avgt",1,5,498.851306,15.264380,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy3","avgt",1,5,506.491063,52.597735,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy4","avgt",1,5,522.846608,23.060683,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy0","avgt",1,5,510.493417,18.253833,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy1","avgt",1,5,1632.676558,86.939372,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy2","avgt",1,5,1832.656397,164.266413,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy3","avgt",1,5,497.483310,39.108627,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy4","avgt",1,5,491.581839,15.754679,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy5","avgt",1,5,1667.375699,101.404482,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy0","avgt",1,5,491.926714,23.040207,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy1","avgt",1,5,544.504251,140.675242,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy2","avgt",1,5,1298.846584,50.587889,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy3","avgt",1,5,506.757800,20.524704,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy4","avgt",1,5,493.874256,9.057365,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy5","avgt",1,5,566.148595,205.806572,"ns/op"
