"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy2","avgt",4,5,2233.323492,2472.859365,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy3","avgt",4,5,1875.574493,179.454598,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy4","avgt",4,5,1902.888514,321.593535,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy0","avgt",4,5,1866.970746,182.120732,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy1","avgt",4,5,5094.222611,7080.793166,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy2","avgt",4,5,5780.003835,5824.122767,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy3","avgt",4,5,1829.880019,23.519515,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy4","avgt",4,5,2065.558907,635.297056,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy5","avgt",4,5,3164.417245,341.894616,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy0","avgt",4,5,1876.330341,296.750949,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy1","avgt",4,5,1814.437885,86.934613,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy2","avgt",4,5,2724.135964,199.927315,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy3","avgt",4,5,1839.229698,111.689995,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy4","avgt",4,5,1833.724790,116.675088,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy5","avgt",4,5,1825.969534,77.045603,"ns/op"
