"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy2","avgt",4,5,1311.996736,180.002770,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy3","avgt",4,5,1766.927898,101.493674,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy4","avgt",4,5,1793.223736,167.969641,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy0","avgt",4,5,1790.659099,203.002259,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy1","avgt",4,5,2739.158890,155.748895,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy2","avgt",4,5,7736.633151,785.923469,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy3","avgt",4,5,1771.995413,143.265221,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy4","avgt",4,5,1757.947070,137.501449,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy5","avgt",4,5,2936.979690,210.144232,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy0","avgt",4,5,1756.637211,52.060973,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy1","avgt",4,5,1925.361819,1092.785195,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy2","avgt",4,5,7004.973973,771.682116,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy3","avgt",4,5,1758.866009,80.746652,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy4","avgt",4,5,1755.820833,97.439219,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy5","avgt",4,5,1782.756442,80.300636,"ns/op"
